variant,dataset,backbone,horizon,seed,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate
SafeTAE-mrc-consistency,ETTm1,PatchTST,96,2026,96,2.8527141253881094,1.2844826863315324,3.013168467192729,1.3271271209399849,-5.325103558567341,-3.213289338621842,0.020833333333333332,0.9791666666666666
SafeTAE-mrc-consistency,ETTm1,PatchTST,192,2026,96,4.088807830424503,1.5505309275998354,4.215013369115137,1.5842038217125196,-2.9941907021212946,-2.1255405042344813,0.010416666666666666,0.9375
SafeTAE-safe,ETTh1,DLinear,96,2026,96,5.294718415187439,1.7666085156934137,5.294718415187439,1.7666085156934137,0.0,0.0,0.0,0.0
SafeTAE-safe,ETTh1,DLinear,192,2026,96,6.7713172839613245,2.0194551565052357,6.7713172839613245,2.0194551565052357,0.0,0.0,0.0,0.0
SafeTAE-safe,ETTh1,PatchTST,96,2026,96,5.597858177249679,1.817295478672774,5.8042865388731295,1.8533736928487337,-3.556481229609987,-1.9466238309362844,0.0,0.9895833333333334
SafeTAE-safe,ETTh1,PatchTST,192,2026,96,7.0604886431858995,2.0583127359223616,7.242316015180876,2.0944762102183376,-2.510624658780134,-1.7266118348293373,0.03125,0.7916666666666666
SafeTAE-safe,ETTm1,DLinear,96,2026,96,2.7371964308178427,1.2498211381217448,2.8177423433450954,1.2739993115635848,-2.8585265232512227,-1.8978168223956398,0.0,0.16666666666666666
SafeTAE-safe,ETTm1,DLinear,192,2026,96,4.035641067022455,1.5401867158545783,3.994698335172625,1.5380548779931642,1.0249267482063416,0.1386060977443873,0.08333333333333333,0.10416666666666667
SafeTAE-safe,ETTm1,PatchTST,96,2026,96,2.8527141253881094,1.2844826863315324,3.013168467192729,1.3271271209399849,-5.325103558567341,-3.213289338621842,0.020833333333333332,0.9791666666666666
SafeTAE-safe,ETTm1,PatchTST,192,2026,96,4.088807830424503,1.5505309275998354,4.215013369115137,1.5842038217125196,-2.9941907021212946,-2.1255405042344813,0.010416666666666666,0.9375
SafeTAE-balanced,ETTh1,DLinear,96,2026,96,5.294718415187439,1.7666085156934137,5.294718415187439,1.7666085156934137,0.0,0.0,0.0,0.0
SafeTAE-balanced,ETTh1,DLinear,192,2026,96,6.7713172839613245,2.0194551565052357,6.7713172839613245,2.0194551565052357,0.0,0.0,0.0,0.0
SafeTAE-balanced,ETTh1,PatchTST,96,2026,96,5.597858177249679,1.817295478672774,5.8042865388731295,1.8533736928487337,-3.556481229609987,-1.9466238309362844,0.0,0.9895833333333334
SafeTAE-balanced,ETTh1,PatchTST,192,2026,96,7.0604886431858995,2.0583127359223616,7.242316015180876,2.0944762102183376,-2.510624658780134,-1.7266118348293373,0.03125,0.7916666666666666
SafeTAE-balanced,ETTm1,DLinear,96,2026,96,2.7371964308178427,1.2498211381217448,2.8177423433450954,1.2739993115635848,-2.8585265232512227,-1.8978168223956398,0.0,0.16666666666666666
SafeTAE-balanced,ETTm1,DLinear,192,2026,96,4.035641067022455,1.5401867158545783,3.994698335172625,1.5380548779931642,1.0249267482063416,0.1386060977443873,0.08333333333333333,0.10416666666666667
SafeTAE-balanced,ETTm1,PatchTST,96,2026,96,2.8527141253881094,1.2844826863315324,3.013168467192729,1.3271271209399849,-5.325103558567341,-3.213289338621842,0.020833333333333332,0.9791666666666666
SafeTAE-balanced,ETTm1,PatchTST,192,2026,96,4.088807830424503,1.5505309275998354,4.215013369115137,1.5842038217125196,-2.9941907021212946,-2.1255405042344813,0.010416666666666666,0.9375
