split,method,n,mse,mae,mse_lrbn,mae_lrbn,mean_delta,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,coverage,selected_count,mean_strength,q4_improvement_pct,low_gap_high_repair_delta_pct,high_gap_low_repair_delta_pct,low_gap_high_repair_coverage,high_gap_low_repair_coverage,config_improved_ratio,test_threshold_leakage,method_family,anchor_mode,tail_len,tau_g,tau_r,tau_j,alpha,K,continuous,kg,kr,kj,q_g,candidate_index,safe_feasible,balanced_feasible
val,LRBN-SRA-BP-continuous,768,8.77890697271054,2.302213625089529,8.79717792520947,2.3053724718885635,-0.018270952498928076,-0.20769106449242009,-0.13702110283049412,0.30078125,0.6966145833333334,0.9908854166666666,761,0.0186454100680326,0.5151606704982774,-5.32060344175431e-08,-0.5861442239533804,0.9166666666666666,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.5,0.1,H_div_4,True,4.0,4.0,4.0,0.5,38,False,False
val,LRBN-SRA-BP-continuous,768,8.776808914805633,2.3018388748580807,8.79717792520947,2.3053724718885635,-0.0203690104038354,-0.23154027977895542,-0.1532766205133199,0.3033854166666667,0.6966145833333334,1.0,768,0.02147429276709543,0.5701035824515763,-7.3039652693009e-08,-0.6486355428676901,1.0,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.7,0.1,H_div_4,True,4.0,4.0,4.0,0.5,39,False,False
val,LRBN-SRA-BP-continuous,768,8.774657335124514,2.30145242575612,8.79717792520947,2.3053724718885635,-0.0225205900849547,-0.25599789217425867,-0.17003959938101892,0.3033854166666667,0.6966145833333334,1.0,768,0.024720913421283307,0.6250621599041289,-1.17224295860501e-07,-0.7111134064241664,1.0,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,,0.1,H_div_4,True,4.0,4.0,4.0,0.5,40,False,False
val,LRBN-SRA-BP-basic,768,8.710424754087548,2.2892700863369306,8.79717792520947,2.3053724718885635,-0.08675317112192078,-0.986147736931686,-0.6984721852167599,0.08463541666666667,0.12890625,0.21354166666666666,164,0.053385416666666664,2.6532711588525797,0.0,-3.1241401325331877,0.0,0.5153374233128835,0.875,False,basic,last,16,2.4260872328869336,-0.2,,0.25,H,False,4.0,4.0,4.0,0.5,41,False,False
val,LRBN-SRA-BP-short,768,8.787958136164908,2.3036105001731872,8.79717792520947,2.3053724718885635,-0.009219789044562226,-0.10480393954134086,-0.07642893845652561,0.015625,0.19791666666666666,0.21354166666666666,164,0.053385416666666664,0.2518093318756005,0.0,-0.2964972640787641,0.0,0.5153374233128835,1.0,False,short,last,16,2.4260872328869336,-0.2,,0.25,4,False,4.0,4.0,4.0,0.5,42,False,False
val,LRBN-SRA-BP-support,768,8.788474806570724,2.303753791349877,8.79717792520947,2.3053724718885635,-0.008703118638744855,-0.09893080147796726,-0.0702134059204345,0.009114583333333334,0.16145833333333334,0.17057291666666666,131,0.042643229166666664,0.24372816457450663,0.0,-0.28698195351623806,0.0,0.4662576687116564,1.0,False,support,last,16,2.4260872328869336,-0.2,0.3,0.25,4,False,4.0,4.0,4.0,0.5,43,False,False
val,LRBN-SRA-BP-support,768,8.787963904154964,2.3036134953395417,8.79717792520947,2.3053724718885635,-0.009214021054504933,-0.10473837317337784,-0.07629901731024569,0.015625,0.1953125,0.2109375,162,0.052734375,0.2518093318756005,0.0,-0.2964972640787641,0.0,0.5153374233128835,1.0,False,support,last,16,2.4260872328869336,-0.2,0.5,0.25,4,False,4.0,4.0,4.0,0.5,44,False,False
val,LRBN-SRA-BP-support,768,8.787958136164908,2.3036105001731872,8.79717792520947,2.3053724718885635,-0.009219789044562226,-0.10480393954134086,-0.07642893845652561,0.015625,0.19791666666666666,0.21354166666666666,164,0.053385416666666664,0.2518093318756005,0.0,-0.2964972640787641,0.0,0.5153374233128835,1.0,False,support,last,16,2.4260872328869336,-0.2,0.7,0.25,4,False,4.0,4.0,4.0,0.5,45,False,False
val,LRBN-SRA-BP-continuous,768,8.789208260086705,2.3039687973522596,8.79717792520947,2.3053724718885635,-0.007969665122764353,-0.09059342872749582,-0.06088710381213865,0.15104166666666666,0.84765625,0.9934895833333334,763,0.03642632188830673,0.215528762027219,-4.3049653127811624e-08,-0.24800626995747937,0.9404761904761905,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.3,0.25,4,True,4.0,4.0,4.0,0.5,46,False,False
val,LRBN-SRA-BP-continuous,768,8.787417168724383,2.3036269651059613,8.79717792520947,2.3053724718885635,-0.009760756485085923,-0.11095326884341013,-0.0757147400827953,0.15234375,0.8463541666666666,1.0,768,0.04661352517008149,0.2604717878983066,-6.968660310771115e-08,-0.29966298953634235,1.0,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.5,0.25,4,True,4.0,4.0,4.0,0.5,47,False,False
