method,slice_type,slice_name,count,coverage,mse_delta_pct_vs_lrbn,mean_delta,harm_rate,win_rate,win_loss_ratio,A_gt_1_rate,mean_A
LRBN-SRA-BP-basic,gap_repair,high_gap__low_repair,163,1.0,-12.864612407762973,-0.6271925555833323,0.3619631901840491,0.6380368098159509,1.9024087253579673,0.6380368098159509,2.458947504042418
LRBN-SRA-BP-basic,gap_repair,high_gap__mid_repair,29,1.0,-22.214965521055213,-0.7861500372698133,0.1724137931034483,0.8275862068965517,1.2932734467277711,0.8275862068965517,2.8657102930433553
LRBN-SRA-BP-basic,gap_repair,high_gap__high_repair,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-short,gap_repair,low_gap__low_repair,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-short,gap_repair,low_gap__mid_repair,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-short,gap_repair,low_gap__high_repair,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-short,gap_repair,mid_gap__low_repair,258,0.5542635658914729,-1.5062980706952536,-0.06895573722156893,0.18604651162790697,0.3682170542635659,1.5704871320714808,0.3682170542635659,1.1164629560181556
LRBN-SRA-BP-short,gap_repair,mid_gap__mid_repair,119,0.11764705882352941,-0.609097874019919,-0.030424013783179587,0.008403361344537815,0.1092436974789916,8.445092349053885,0.1092436974789916,0.6622963570329122
LRBN-SRA-BP-short,gap_repair,mid_gap__high_repair,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-short,gap_repair,high_gap__low_repair,163,1.0,-7.874603211944686,-0.38391304426117,0.19631901840490798,0.803680981595092,1.9775296715858535,0.803680981595092,2.6638632374713613
LRBN-SRA-BP-short,gap_repair,high_gap__mid_repair,29,0.3103448275862069,-8.827742162789507,-0.3123988566944943,0.0,0.3103448275862069,0.0,0.3103448275862069,1.1079785055367728
LRBN-SRA-BP-short,gap_repair,high_gap__high_repair,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-support,gap_repair,low_gap__low_repair,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-support,gap_repair,low_gap__mid_repair,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-support,gap_repair,low_gap__high_repair,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-support,gap_repair,mid_gap__low_repair,258,0.45348837209302323,-1.276180515435249,-0.05842135098070107,0.14728682170542637,0.3062015503875969,1.4626055652096348,0.3062015503875969,0.9210463039026903
LRBN-SRA-BP-support,gap_repair,mid_gap__mid_repair,119,0.2857142857142857,-0.9456745807927318,-0.04723578542567729,0.07563025210084033,0.21008403361344538,2.9648714338695146,0.21008403361344538,0.9073343002518809
LRBN-SRA-BP-support,gap_repair,mid_gap__high_repair,24,0.08333333333333333,0.1379161934793242,0.005815865903921469,0.041666666666666664,0.041666666666666664,0.33286168549762907,0.041666666666666664,0.15341028864027595
LRBN-SRA-BP-support,gap_repair,high_gap__low_repair,163,0.9447852760736196,-7.917317705093091,-0.38599551758170464,0.17791411042944785,0.7668711656441718,2.01060521672526,0.7668711656441718,2.5252596526755866
