method,sample_id,dataset,backbone,horizon,seed,split,delta_mse_vs_lrbn,selected,strength,g_l,g_y,repair_ratio,jump_support,A,case_type
LRBN-BP-always,test_00084,ETTh1,DLinear,192,2026,test,-1.1710868143224653,True,1.0,2.0312033101472378,0.0,-0.38674178748777255,0.1960567451864044,10.934415786603116,top_win
LRBN-BP-always,test_00005,ETTh1,DLinear,192,2026,test,-0.980361907061944,True,1.0,1.8357069718375982,1.45082063541496,0.545656359580935,0.20630921961094142,6.7909249403123635,top_win
LRBN-BP-always,test_00085,ETTh1,DLinear,192,2026,test,-0.9286467527991782,True,1.0,5.151530409413089,0.5093469986508606,-1.879358503727028,0.07906433415226115,6.54363513918822,top_win
LRBN-BP-always,test_00071,ETTh1,DLinear,192,2026,test,-0.8129807521271724,True,1.0,2.815294525377627,0.5049878514841692,-14.999305752333434,0.14317235375902784,3.526710263420105,top_win
LRBN-BP-always,test_00025,ETTh1,DLinear,192,2026,test,-0.8034578200443239,True,1.0,3.603268732894222,1.7737418554521545,0.1319027603353906,0.1186672859940256,14.084932837335275,top_win
LRBN-BP-always,test_00026,ETTh1,DLinear,192,2026,test,-0.6946083394058409,True,1.0,2.4964519099823668,0.7856858121487894,-2.174937536159061,0.1522463292649917,5.623943578766298,top_win
LRBN-BP-always,test_00058,ETTh1,DLinear,192,2026,test,-0.6819163543092035,True,1.0,2.183433341524773,0.0,0.7739613647267884,0.23462359100617777,27.06838393635737,top_win
LRBN-BP-always,test_00077,ETTh1,DLinear,192,2026,test,0.9620827047015155,True,1.0,0.6132439882846753,0.32892230271717365,0.7086301486083445,0.3883595424981052,-73.40689886242409,low_gap_high_repair_harm
LRBN-BP-always,test_00090,ETTh1,DLinear,192,2026,test,0.36375290277488137,True,1.0,0.9333383805648415,0.718625238738306,0.7640884772045118,0.39206732889853235,-9.662250830969036,low_gap_high_repair_harm
LRBN-BP-always,test_00087,ETTh1,DLinear,192,2026,test,0.21539199453444358,True,1.0,0.8815530045861139,2.4426402608033397,0.7922682997432435,0.3950422029130179,-8.072698517283701,low_gap_high_repair_harm
LRBN-BP-always,test_00044,ETTh1,DLinear,192,2026,test,0.19080457356629887,True,1.0,0.8671042001712915,0.46649965733174126,0.8262750449230165,0.6205317782697805,-13.846661120705846,low_gap_high_repair_harm
