variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,mean_delta_norm,mean_accept_score,shrink,residual_cap,gate_quantile,score_threshold,mix_residual,patch_delta_rms,calibration_score,target_variant
H2L Learned Patch Residual Editor,232,8.192457231782248,2.196721308967993,9.1261157455358,2.332075092367097,-0.9336585137535529,-10.230623178181867,-5.80400619438532,0.3146551724137931,0.6853448275862069,0.4827586206896552,1.0,8,8,False,1.0,232,0.3146551724137931,0.4926589809771402,0.0,1.0,0.0008980049355624752,0.27608587194143985,1.927443228726243,0.5,0.35,0.0,0.0538950152695179,1.0,1.4154707193374634,73.82110095974917,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.371656584988655,2.227316442857933,9.1261157455358,2.332075092367097,-0.7544591605471473,-8.26703474684177,-4.492078724344352,0.25862068965517243,0.6422413793103449,0.41379310344827586,1.0,8,8,False,0.9008620689655172,209,0.28708133971291866,0.3981017424986897,0.09913793103448276,0.664272030651341,0.0007501394835384005,0.24540504685671177,1.8647790391897332,0.5,0.35,0.5,0.7479564249515533,1.0,1.4154707193374634,55.35365490833065,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.71318633649561,2.2812266454243773,9.1261157455358,2.332075092367097,-0.4129294090401911,-4.5247005418456565,-2.180394914859641,0.1939655172413793,0.4525862068965517,0.3448275862068966,1.0,8,8,False,0.646551724137931,150,0.3,0.21788842374004339,0.35344827586206895,0.3481800766283525,0.00032076347326156937,0.14557713758295848,1.6000099223235558,0.5,0.35,0.75,1.3063579201698303,1.0,1.4154707193374634,37.1132304926371,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.922198389987587,2.311564831665876,9.1261157455358,2.332075092367097,-0.20391735554821575,-2.234437530824871,-0.8794854282524192,0.09051724137931035,0.21551724137931033,0.1724137931034483,0.875,7,8,False,0.30603448275862066,71,0.29577464788732394,0.10760006480747937,0.6939655172413793,0.14224137931034483,9.739731500742646e-05,0.06213767173201353,1.0395502746105194,0.5,0.35,0.9,2.0707091093063363,1.0,1.4154707193374634,-2.234437530824871,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.636630098142856,2.262009630861996,9.1261157455358,2.332075092367097,-0.4894856473929453,-5.363570444479933,-3.004425605075223,0.2974137931034483,0.7025862068965517,0.4827586206896552,1.0,8,8,False,1.0,232,0.2974137931034483,0.258284476278227,0.0,1.0,0.00023717525224294428,0.14149450767786545,1.927443228726243,0.75,0.15,0.0,0.0538950152695179,1.0,1.4154707193374634,75.58470541758903,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.752779100994912,2.281679343014627,9.1261157455358,2.332075092367097,-0.3733366445408906,-4.090860279899764,-2.1609831219122273,0.2543103448275862,0.646551724137931,0.41379310344827586,1.0,8,8,False,0.9008620689655172,209,0.2822966507177033,0.1969967050602928,0.09913793103448276,0.664272030651341,0.0001403479959855322,0.10624426630703988,1.8647790391897332,0.75,0.15,0.5,0.7479564249515533,1.0,1.4154707193374634,58.75396730630713,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.928037527557967,2.307822512561395,9.1261157455358,2.332075092367097,-0.19807821797783431,-2.1704548055691895,-1.0399570657516768,0.1853448275862069,0.46120689655172414,0.3448275862068966,1.0,8,8,False,0.646551724137931,150,0.2866666666666667,0.10451895589792276,0.35344827586206895,0.3481800766283525,5.9015340062547515e-05,0.06243410424939043,1.6000099223235558,0.75,0.15,0.75,1.3063579201698303,1.0,1.4154707193374634,37.91575209098254,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,9.032518059282532,2.3225589513519083,9.1261157455358,2.332075092367097,-0.09359768625326984,-1.0256026633948079,-0.40805465508078576,0.08189655172413793,0.22413793103448276,0.1724137931034483,0.875,7,8,False,0.30603448275862066,71,0.2676056338028169,0.049388229263794395,0.6939655172413793,0.14224137931034483,1.7889302756466074e-05,0.02663043074229146,1.0395502746105194,0.75,0.15,0.9,2.0707091093063363,1.0,1.4154707193374634,-0.10724954130863962,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.376186757477866,2.2237304716873436,9.1261157455358,2.332075092367097,-0.7499289880579341,-8.217395090600686,-4.6458461208981605,0.30603448275862066,0.6939655172413793,0.4827586206896552,1.0,8,8,False,1.0,232,0.30603448275862066,0.39571132873465303,0.0,1.0,0.0006040658314168233,0.22606689567484903,1.927443228726243,0.75,0.25,0.0,0.0538950152695179,1.0,1.4154707193374634,74.28260490939931,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.546615744161604,2.252719442181154,9.1261157455358,2.332075092367097,-0.5795000013741971,-6.349908514174587,-3.4027913640257976,0.25862068965517243,0.6422413793103449,0.41379310344827586,1.0,8,8,False,0.9008620689655172,209,0.28708133971291866,0.30578190628337415,0.09913793103448276,0.664272030651341,0.00038905287701642457,0.1768274294149151,1.8647790391897332,0.75,0.25,0.5,0.7479564249515533,1.0,1.4154707193374634,57.270781140997826,H2L Learned Patch Residual Editor
