variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,accept_precision,selected_nonharm_rate,mean_expected_harm,mean_accept_score,tau_leave,tau_family_gain,tau_family_harm,tau_candidate_gain,tau_candidate_harm,beta_harm,lambda_existing,lambda_smoothing,lambda_residual,lambda_memory,calibration_score,target_variant,tau_select,tau_harm,lam,residual_cap,top_k_family,top_k_candidate,mix_temp,max_coverage,uncertainty_beta,retrieval_weight,calibration_feasible_safe,calibration_feasible_balanced
FamilyMix Selector,232,9.094516779332503,2.3289634395167473,9.1261157455358,2.332075092367097,-0.03159896620329897,-0.34624770329184157,-0.13342850096000272,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.5,116,0.0,0.016673670576903818,0.2672413793103448,1.0,0.02529593043435562,0.04228614355623872,0.45,,,,,1.5,,,,,0.920278885170082,FamilyMix Selector,-0.1,0.15,0.35,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
FamilyMix Selector,232,9.094516779332503,2.3289634395167473,9.1261157455358,2.332075092367097,-0.03159896620329897,-0.34624770329184157,-0.13342850096000272,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.625,145,0.0,0.016673670576903818,0.21379310344827587,1.0,0.02529593043435562,0.04228614355623872,0.45,,,,,1.5,,,,,0.920278885170082,FamilyMix Selector,-0.1,0.15,0.35,0.35,2.0,2.0,0.35,1.0,0.5,0.5,True,True
FamilyMix Selector,232,9.08338553342481,2.327860404382207,9.1261157455358,2.332075092367097,-0.04273021211099048,-0.4682190458199156,-0.1807269405951861,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.25,58,0.0,0.02254724017982267,0.5344827586206896,1.0,0.02529593043435562,0.04228614355623872,0.45,,,,,1.5,,,,,0.6808361505836311,FamilyMix Selector,-0.1,0.15,0.5,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
FamilyMix Selector,232,9.08338553342481,2.327860404382207,9.1261157455358,2.332075092367097,-0.04273021211099048,-0.4682190458199156,-0.1807269405951861,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.5,116,0.0,0.02254724017982267,0.2672413793103448,1.0,0.02529593043435562,0.04228614355623872,0.45,,,,,1.5,,,,,0.6808361505836311,FamilyMix Selector,-0.1,0.15,0.5,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
FamilyMix Selector,232,9.08338553342481,2.327860404382207,9.1261157455358,2.332075092367097,-0.04273021211099048,-0.4682190458199156,-0.1807269405951861,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.625,145,0.0,0.02254724017982267,0.21379310344827587,1.0,0.02529593043435562,0.04228614355623872,0.45,,,,,1.5,,,,,0.6808361505836311,FamilyMix Selector,-0.1,0.15,0.5,0.35,2.0,2.0,0.35,1.0,0.5,0.5,True,True
FamilyMix Selector,232,9.107027621561581,2.3301938264237068,9.1261157455358,2.332075092367097,-0.019088123974220546,-0.20915934539445963,-0.0806691834873124,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.25,58,0.0,0.010072136190456315,0.5344827586206896,1.0,0.019813500112264924,0.045425388962195876,0.45,,,,,1.5,,,,,1.1893979307964142,FamilyMix Selector,0.0,0.15,0.2,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
FamilyMix Selector,232,9.107027621561581,2.3301938264237068,9.1261157455358,2.332075092367097,-0.019088123974220546,-0.20915934539445963,-0.0806691834873124,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.4224137931034483,98,0.0,0.010072136190456315,0.3163265306122449,1.0,0.019813500112264924,0.045425388962195876,0.45,,,,,1.5,,,,,1.1893979307964142,FamilyMix Selector,0.0,0.15,0.2,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
FamilyMix Selector,232,9.107027621561581,2.3301938264237068,9.1261157455358,2.332075092367097,-0.019088123974220546,-0.20915934539445963,-0.0806691834873124,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.4224137931034483,98,0.0,0.010072136190456315,0.3163265306122449,1.0,0.019813500112264924,0.045425388962195876,0.45,,,,,1.5,,,,,1.1893979307964142,FamilyMix Selector,0.0,0.15,0.2,0.35,2.0,2.0,0.35,1.0,0.5,0.5,True,True
FamilyMix Selector,232,9.09441036203217,2.3289524568457223,9.1261157455358,2.332075092367097,-0.031705383503633236,-0.3474137777005407,-0.1338994408115501,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.25,58,0.0,0.01672982326867358,0.5344827586206896,1.0,0.019813500112264924,0.045425388962195876,0.45,,,,,1.5,,,,,0.9179897569259877,FamilyMix Selector,0.0,0.15,0.35,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
FamilyMix Selector,232,9.09441036203217,2.3289524568457223,9.1261157455358,2.332075092367097,-0.031705383503633236,-0.3474137777005407,-0.1338994408115501,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.4224137931034483,98,0.0,0.01672982326867358,0.3163265306122449,1.0,0.019813500112264924,0.045425388962195876,0.45,,,,,1.5,,,,,0.9179897569259877,FamilyMix Selector,0.0,0.15,0.35,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
