variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,mean_delta_norm,mean_accept_score,rho,group_lasso,tau_score,tau_harm,beta_harm,residual_cap,temp,shrink,width_coef,center_mode,lowpass_kernel,local_shrink,global_shrink,mask_quantile,patch_len,stride,codebook_size,retrieval_k,calibration_score,target_variant
H1 Residual Atom Simplex Editor,232,9.061613446478411,2.324103291811153,9.1261157455358,2.332075092367097,-0.06450229905739005,-0.7067880880018774,-0.3418329258715826,0.004310344827586207,0.25,0.034482758620689655,1.0,8,8,False,0.8491379310344828,197,0.005076142131979695,0.03403560986826123,0.7456896551724138,0.24329501915708812,2.567526888307945e-05,0.017306814356733043,0.07740173537005743,0.25,0.01,0.0,0.35,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,0.6721436159502857,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.057979187980276,2.3235491211355552,9.1261157455358,2.332075092367097,-0.06813655755552704,-0.7466107090981561,-0.36559591167917205,0.004310344827586207,0.25,0.034482758620689655,1.0,8,8,False,0.8491379310344828,197,0.005076142131979695,0.03595328111735807,0.7456896551724138,0.24329501915708812,3.024963353870591e-05,0.018348954040402286,0.07740173537005743,0.25,0.01,0.0,0.35,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,0.5747908573811019,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.045955238330661,2.3235806833124797,9.1261157455358,2.332075092367097,-0.08016050720513998,-0.8783639102595754,-0.36424251714687655,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.9353448275862069,217,0.0,0.04229789929888559,0.7758620689655172,0.23275862068965517,4.4165950937738575e-05,0.02193950292039153,0.04873881153480371,0.5,0.0,0.0,0.2,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,0.25269911077385687,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.037852526817966,2.3228280698721346,9.1261157455358,2.332075092367097,-0.08826321871783718,-0.967149892486242,-0.3965147814312101,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.9353448275862069,217,0.0,0.04657341710137289,0.7758620689655172,0.23275862068965517,5.454331395330115e-05,0.02421832389063304,0.04873881153480371,0.5,0.0,0.0,0.2,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,0.03564759447257149,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.028015456841343,2.3198587149638157,9.1261157455358,2.332075092367097,-0.09810028869446026,-1.0749402190625377,-0.5238415088296977,0.01293103448275862,0.2413793103448276,0.034482758620689655,1.0,8,8,False,0.9568965517241379,222,0.013513513513513514,0.051764095276630416,0.7456896551724138,0.24329501915708812,5.8918572384391594e-05,0.026889752595762255,0.07987087603609537,0.5,0.0,0.0,0.35,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.22786307736145006,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.0157431206471,2.3179868915811026,9.1261157455358,2.332075092367097,-0.11037262488870067,-1.209415131752519,-0.6041057928063649,0.01293103448275862,0.2413793103448276,0.034482758620689655,1.0,8,8,False,0.9568965517241379,222,0.013513513513513514,0.0582397783605414,0.7456896551724138,0.24329501915708812,9.066352048720184e-05,0.0324265961628155,0.07987087603609537,0.5,0.0,0.0,0.35,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.556608482568761,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.045596334874093,2.3235242568859347,9.1261157455358,2.332075092367097,-0.08051941066171119,-0.8822966179545311,-0.3666620973090997,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.9353448275862069,217,0.0,0.04248728011486797,0.7758620689655172,0.23275862068965517,4.4389492300728406e-05,0.02202975343473488,0.04843450921832254,0.5,0.001,0.0,0.2,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,0.2430849785994298,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.037464899293585,2.322764530547593,9.1261157455358,2.332075092367097,-0.08865084624221595,-0.9713973460005774,-0.3992393645493672,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.9353448275862069,217,0.0,0.04677795460448138,0.7758620689655172,0.23275862068965517,5.4844905804998166e-05,0.0243342021470379,0.04843450921832254,0.5,0.001,0.0,0.2,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,0.025264015864981282,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.027771846425038,2.319817636997536,9.1261157455358,2.332075092367097,-0.0983438991107657,-1.0776095958579996,-0.5256029429377982,0.01293103448275862,0.2413793103448276,0.034482758620689655,1.0,8,8,False,0.9568965517241379,222,0.013513513513513514,0.05189263998294917,0.7456896551724138,0.24329501915708812,5.9095473752280965e-05,0.026955736254222623,0.07950841977526663,0.5,0.001,0.0,0.35,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.23438879534647472,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.015453549120299,2.317938893335321,9.1261157455358,2.332075092367097,-0.11066219641550276,-1.212588130370532,-0.6061639703381596,0.01293103448275862,0.2413793103448276,0.034482758620689655,1.0,8,8,False,0.9568965517241379,222,0.013513513513513514,0.05839257513924884,0.7456896551724138,0.24329501915708812,9.094025050095328e-05,0.03252185638039257,0.07950841977526663,0.5,0.001,0.0,0.35,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.564365384547997,H1 Residual Atom Simplex Editor
