split,method,dataset,backbone,horizon,seed,n,coverage,mean_strength,lrbn_mse,method_mse,method_mae,delta_mse_vs_lrbn,delta_pct_vs_lrbn,harm_rate_vs_lrbn,win_rate_vs_lrbn
test,LRBN-BP-gap-strength,ETTm1,DLinear,192,2026,96,0.8854166666666666,0.22868092033106505,3.994698335172625,3.923537504698792,1.5161925669066985,-0.07116083047383304,-1.7813818297400776,0.40625,0.59375
test,LRBN-BP-gap-strength,ETTm1,PatchTST,96,2026,96,0.9375,0.26127717472928985,3.013168467192729,2.83888901879968,1.2849686160478024,-0.17427944839304813,-5.7839264452752825,0.375,0.625
test,LRBN-BP-gap-strength,ETTm1,PatchTST,192,2026,96,0.9166666666666666,0.35773297365300066,4.215013369115137,4.121428481398403,1.557017861687189,-0.09358488771673291,-2.2202749860874746,0.4166666666666667,0.5833333333333334
val,LRBN-BP-bounded,ETTh1,DLinear,96,2026,96,1.0,0.7871656096001924,9.535620690105475,9.286243118947844,2.46399216136249,-0.24937757115763048,-2.615221169135556,0.3645833333333333,0.6354166666666666
val,LRBN-BP-bounded,ETTh1,DLinear,192,2026,96,1.0,0.834986403639426,10.618143575280191,10.474104066585884,2.6093160624164526,-0.14403950869430845,-1.3565413533679056,0.4375,0.5625
val,LRBN-BP-bounded,ETTh1,PatchTST,96,2026,96,1.0,0.7940620721891843,10.528241004299185,10.365604622046876,2.583344568196931,-0.16263638225230784,-1.5447630998513464,0.4583333333333333,0.5416666666666666
val,LRBN-BP-bounded,ETTh1,PatchTST,192,2026,96,1.0,0.8040834063719814,11.609037853274186,11.451807036196287,2.7058779178378987,-0.1572308170778973,-1.3543828431752039,0.3958333333333333,0.6041666666666666
val,LRBN-BP-bounded,ETTm1,DLinear,96,2026,96,1.0,0.7818086892453233,5.436033967295309,5.348477818810525,1.7075946415733163,-0.08755614848478395,-1.6106622741962184,0.3958333333333333,0.6041666666666666
val,LRBN-BP-bounded,ETTm1,DLinear,192,2026,96,1.0,0.7342641911781701,8.33279445849474,8.20311537405345,2.1937316938462588,-0.12967908444128987,-1.556249646281223,0.4791666666666667,0.5208333333333334
val,LRBN-BP-bounded,ETTm1,PatchTST,96,2026,96,1.0,0.7596531370332801,5.742462045489039,5.6776230364927,1.7662792661545879,-0.06483900899634,-1.1291151490389266,0.4270833333333333,0.5729166666666666
val,LRBN-BP-bounded,ETTm1,PatchTST,192,2026,96,1.0,0.7041419590461704,8.575089807437628,8.442226818849973,2.2191784934552854,-0.13286298858765747,-1.5494063784320464,0.3541666666666667,0.6458333333333334
test,LRBN-BP-bounded,ETTh1,DLinear,96,2026,96,1.0,0.8013734331241785,5.294718415187439,5.151970533369,1.7381564946054964,-0.14274788181843862,-2.6960429309965663,0.3541666666666667,0.6458333333333334
test,LRBN-BP-bounded,ETTh1,DLinear,192,2026,96,1.0,0.8209867547096747,6.7713172839613245,6.658583761967694,1.99675829760558,-0.11273352199362963,-1.664868401517177,0.375,0.625
test,LRBN-BP-bounded,ETTh1,PatchTST,96,2026,96,1.0,0.8007047163996649,5.8042865388731295,5.667569591629907,1.8256104421267851,-0.13671694724322317,-2.3554479278726377,0.3020833333333333,0.6979166666666666
test,LRBN-BP-bounded,ETTh1,PatchTST,192,2026,96,1.0,0.8037212392638011,7.242316015180876,7.135529724527157,2.0751604524290617,-0.10678629065371963,-1.47447709106358,0.375,0.625
test,LRBN-BP-bounded,ETTm1,DLinear,96,2026,96,1.0,0.7452142591629926,2.8177423433450954,2.7443541948371535,1.2524061678086147,-0.073388148507942,-2.6045017359667,0.3333333333333333,0.6666666666666666
test,LRBN-BP-bounded,ETTm1,DLinear,192,2026,96,1.0,0.7395003417835601,3.994698335172625,3.954259045206173,1.5254465954051117,-0.040439289966451984,-1.0123239972630356,0.40625,0.59375
test,LRBN-BP-bounded,ETTm1,PatchTST,96,2026,96,1.0,0.7303415843602276,3.013168467192729,2.9514209703866974,1.3110879875893018,-0.06174749680603103,-2.0492547055835244,0.3645833333333333,0.6354166666666666
test,LRBN-BP-bounded,ETTm1,PatchTST,192,2026,96,1.0,0.7332825422641743,4.215013369115137,4.185710998776549,1.5748326483274242,-0.029302370338587524,-0.6951904466964995,0.4166666666666667,0.5833333333333334
val,LRBN-BP-robust-anchor,ETTh1,DLinear,96,2026,96,1.0,1.0,9.535620690105475,9.365975084643738,2.480884056397985,-0.16964560546173582,-1.7790724987609912,0.3854166666666667,0.6145833333333334
val,LRBN-BP-robust-anchor,ETTh1,DLinear,192,2026,96,1.0,1.0,10.618143575280191,10.505524337575586,2.6155749441246754,-0.1126192377046069,-1.0606302015045987,0.40625,0.59375
val,LRBN-BP-robust-anchor,ETTh1,PatchTST,96,2026,96,1.0,1.0,10.528241004299185,10.401121639343392,2.59212063369377,-0.12711936495579138,-1.2074131356144107,0.4583333333333333,0.5416666666666666
val,LRBN-BP-robust-anchor,ETTh1,PatchTST,192,2026,96,1.0,1.0,11.609037853274186,11.467711617396537,2.7079953820070535,-0.14132623587764911,-1.2173811261718972,0.3854166666666667,0.6145833333333334
val,LRBN-BP-robust-anchor,ETTm1,DLinear,96,2026,96,1.0,1.0,5.436033967295309,5.345239763964088,1.7070381429286916,-0.09079420333122139,-1.6702287680768975,0.375,0.625
val,LRBN-BP-robust-anchor,ETTm1,DLinear,192,2026,96,1.0,1.0,8.33279445849474,8.175868523405695,2.189677903667872,-0.15692593508904654,-1.8832329980340081,0.4479166666666667,0.5520833333333334
val,LRBN-BP-robust-anchor,ETTm1,PatchTST,96,2026,96,1.0,1.0,5.742462045489039,5.661441752520205,1.7606551327590463,-0.08102029296883391,-1.4108981859338363,0.40625,0.59375
val,LRBN-BP-robust-anchor,ETTm1,PatchTST,192,2026,96,1.0,1.0,8.575089807437628,8.344477712816975,2.2054937397977716,-0.23061209462065504,-2.689325704224097,0.3541666666666667,0.6458333333333334
test,LRBN-BP-robust-anchor,ETTh1,DLinear,96,2026,96,1.0,1.0,5.294718415187439,5.183068729390917,1.745462116172418,-0.11164968579652253,-2.1086992136426814,0.34375,0.65625
test,LRBN-BP-robust-anchor,ETTh1,DLinear,192,2026,96,1.0,1.0,6.7713172839613245,6.688443879167813,2.0028451896358757,-0.08287340479351131,-1.2238889597954372,0.3645833333333333,0.6354166666666666
test,LRBN-BP-robust-anchor,ETTh1,PatchTST,96,2026,96,1.0,1.0,5.8042865388731295,5.698785731552398,1.8326202706535224,-0.10550080732073186,-1.8176360941589575,0.3229166666666667,0.6770833333333334
test,LRBN-BP-robust-anchor,ETTh1,PatchTST,192,2026,96,1.0,1.0,7.242316015180876,7.163605365405629,2.0798766753045244,-0.07871064977524715,-1.0868160061170655,0.3854166666666667,0.6145833333333334
test,LRBN-BP-robust-anchor,ETTm1,DLinear,96,2026,96,1.0,1.0,2.8177423433450954,2.7287674529180976,1.2497344958981855,-0.0889748904269977,-3.1576659349770164,0.3229166666666667,0.6770833333333334
test,LRBN-BP-robust-anchor,ETTm1,DLinear,192,2026,96,1.0,1.0,3.994698335172625,3.9484126935933226,1.5243300024675293,-0.046285641579302206,-1.1586767655494172,0.40625,0.59375
test,LRBN-BP-robust-anchor,ETTm1,PatchTST,96,2026,96,1.0,1.0,3.013168467192729,2.9268706929613013,1.3056507992297408,-0.08629777423142697,-2.8640208765169453,0.3645833333333333,0.6354166666666666
test,LRBN-BP-robust-anchor,ETTm1,PatchTST,192,2026,96,1.0,1.0,4.215013369115137,4.1626743469822145,1.5695868198552148,-0.05233902213292141,-1.2417284934908006,0.40625,0.59375
val,LRBN-BP-short-bridge,ETTh1,DLinear,96,2026,96,1.0,1.0,9.535620690105475,9.43659127438471,2.490874995364041,-0.09902941572076374,-1.0385209189336664,0.11458333333333333,0.8854166666666666
val,LRBN-BP-short-bridge,ETTh1,DLinear,192,2026,96,1.0,1.0,10.618143575280191,10.571184683005391,2.6252141839287653,-0.04695889227480212,-0.44225143404444484,0.16666666666666666,0.8333333333333334
val,LRBN-BP-short-bridge,ETTh1,PatchTST,96,2026,96,1.0,1.0,10.528241004299185,10.444313047314873,2.596664530493164,-0.08392795698431055,-0.7971697918989757,0.17708333333333334,0.8229166666666666
