split,method,mean_mse,mean_mae,lrbn_mse,lrbn_mae,delta_mse_vs_lrbn,delta_pct_vs_lrbn,delta_mae_vs_lrbn,delta_mae_pct_vs_lrbn,harm_rate_vs_lrbn,win_rate_vs_lrbn,mean_win_size,mean_loss_size,win_loss_ratio,coverage,mean_strength,test_threshold_leakage,q4_improvement_pct_vs_lrbn,low_delta_pct_vs_lrbn,config_improved_ratio,param_alpha,param_anchor_mode,param_bridge_mode,param_gap_tau_quantile,param_gap_tau,param_gap_temp,param_boundary_clip,param_norm_clip,param_k_value,param_conflict_eta,param_high_repair
val,LRBN-BP-bounded,8.7881583716968,2.3038808472467363,8.79717792520947,2.3053724718885635,-0.009019553512669122,-0.10252780583838624,-0.0014916246418270357,-0.06470211011651109,0.40234375,0.59765625,0.025927241571024814,0.01609575010799515,1.61081187822538,1.0,1.0,False,0.11623643078770725,-0.056934387597703695,1.0,0.05,last,linear,,,,0.5,0.3,,,
val,LRBN-BP-bounded,8.7881583716968,2.3038808472467363,8.79717792520947,2.3053724718885635,-0.009019553512669122,-0.10252780583838624,-0.0014916246418270357,-0.06470211011651109,0.40234375,0.59765625,0.025927241571024814,0.01609575010799515,1.61081187822538,1.0,1.0,False,0.11623643078770725,-0.056934387597703695,1.0,0.05,last,linear,,,,0.5,0.5,,,
val,LRBN-BP-bounded,8.779735122867136,2.3024819841007997,8.79717792520947,2.3053724718885635,-0.01744280234233295,-0.19827724834939955,-0.002890487787763848,-0.12538051054534602,0.4036458333333333,0.5963541666666666,0.04867864929372992,0.028705642508440654,1.6957861967922998,1.0,1.0,False,0.23170545249821137,-0.08909279510435014,1.0,0.05,last,linear,,,,1.0,0.1,,,
val,LRBN-BP-bounded,8.779735122867136,2.3024819841007997,8.79717792520947,2.3053724718885635,-0.01744280234233295,-0.19827724834939955,-0.002890487787763848,-0.12538051054534602,0.4036458333333333,0.5963541666666666,0.04867864929372992,0.028705642508440654,1.6957861967922998,1.0,1.0,False,0.23170545249821137,-0.08909279510435014,1.0,0.05,last,linear,,,,1.0,0.2,,,
val,LRBN-BP-bounded,8.779735122867136,2.3024819841007997,8.79717792520947,2.3053724718885635,-0.01744280234233295,-0.19827724834939955,-0.002890487787763848,-0.12538051054534602,0.4036458333333333,0.5963541666666666,0.04867864929372992,0.028705642508440654,1.6957861967922998,1.0,1.0,False,0.23170545249821137,-0.08909279510435014,1.0,0.05,last,linear,,,,1.0,0.3,,,
val,LRBN-BP-bounded,8.779735122867136,2.3024819841007997,8.79717792520947,2.3053724718885635,-0.01744280234233295,-0.19827724834939955,-0.002890487787763848,-0.12538051054534602,0.4036458333333333,0.5963541666666666,0.04867864929372992,0.028705642508440654,1.6957861967922998,1.0,1.0,False,0.23170545249821137,-0.08909279510435014,1.0,0.05,last,linear,,,,1.0,0.5,,,
val,LRBN-BP-bounded,8.767005228348578,2.3003637475339933,8.79717792520947,2.3053724718885635,-0.030172696860891884,-0.3429815457083014,-0.005008724354569709,-0.21726312749543514,0.4049479166666667,0.5950520833333334,0.0836926752492024,0.04847241607627179,1.7266038039340394,1.0,1.0,False,0.46034126868788805,-0.08909214194531594,1.0,0.05,last,linear,,,,2.0,0.1,,,
val,LRBN-BP-bounded,8.767005228348578,2.3003637475339933,8.79717792520947,2.3053724718885635,-0.030172696860891884,-0.3429815457083014,-0.005008724354569709,-0.21726312749543514,0.4049479166666667,0.5950520833333334,0.0836926752492024,0.04847241607627179,1.7266038039340394,1.0,1.0,False,0.46034126868788805,-0.08909214194531594,1.0,0.05,last,linear,,,,2.0,0.2,,,
val,LRBN-BP-bounded,8.767005228348578,2.3003637475339933,8.79717792520947,2.3053724718885635,-0.030172696860891884,-0.3429815457083014,-0.005008724354569709,-0.21726312749543514,0.4049479166666667,0.5950520833333334,0.0836926752492024,0.04847241607627179,1.7266038039340394,1.0,1.0,False,0.46034126868788805,-0.08909214194531594,1.0,0.05,last,linear,,,,2.0,0.3,,,
val,LRBN-BP-bounded,8.767005228348578,2.3003637475339933,8.79717792520947,2.3053724718885635,-0.030172696860891884,-0.3429815457083014,-0.005008724354569709,-0.21726312749543514,0.4049479166666667,0.5950520833333334,0.0836926752492024,0.04847241607627179,1.7266038039340394,1.0,1.0,False,0.46034126868788805,-0.08909214194531594,1.0,0.05,last,linear,,,,2.0,0.5,,,
