row_index,horizon,k_used,mean_distance,min_distance,memory_candidate,split,candidate,n,mean_mse_delta,win_rate,harm_rate
21,96,9,1.781472571646507,1.0856195989825874,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
22,96,9,1.9470334106811944,1.5980654761258168,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
23,96,9,2.4510390109291555,1.8803626396078557,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
24,96,9,2.702594662433433,1.7630304703348636,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
25,96,9,2.500527149386325,1.545821357887322,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
26,96,9,3.5337876119097484,2.7499139843469784,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
27,96,9,3.4179600194598487,1.8955456755936406,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
28,96,9,2.6901840215507615,1.2429104404998774,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
58,96,9,2.802431968108059,1.639709327663854,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
59,96,9,2.4648004472200338,1.5656586882193295,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
60,96,9,3.159311180381184,2.1036338569288615,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
61,96,9,2.8896524325170385,2.450494213001324,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
62,96,9,2.596015493854045,1.0206250768854006,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
63,96,9,3.2687015291618,1.5034005115724307,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
64,96,9,3.223776829561527,2.0107030797260688,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
