dataset,backbone,horizon,seq_len,epochs,batch_size,learning_rate,max_train_windows,max_eval_windows,device,n_val,n_test,prediction_path,adapter_mode,test_threshold_leakage,mse,mae,variant,method,model_label,mse_delta_pct_vs_raw,mae_delta_pct_vs_raw,status,blocker_reason,tail_len,learned_params
ETTm1,PatchTST,336,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_336_future_center_selector.jsonl,learnable_reversible_boundary_normalization,False,5.093399506586836,1.7545570265302204,future_center_selector,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_selector,0.9960059412236164,0.5098248412907388,completed,,48,"{""gamma"": 0.3517695665359497}"
ETTm1,PatchTST,336,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_336_future_center_horizon_selector.jsonl,learnable_reversible_boundary_normalization,False,5.045596486817323,1.7485782524580722,future_center_horizon_selector,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_horizon_selector,0.04812936833616176,0.1673306814140176,completed,,48,"{""gamma"": 0.35176607966423035}"
ETTm1,PatchTST,336,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_336_future_center_horizon_residual_gate.jsonl,learnable_reversible_boundary_normalization,False,5.068917118184071,1.7534159989251674,future_center_horizon_residual_gate,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_horizon_residual_gate,0.51054953015997,0.44446105830230587,completed,,48,"{""beta"": 0.701580822467804, ""gamma"": 0.35162776708602905}"
ETTm1,PatchTST,336,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_336_future_center_horizon_residual_gate_strong.jsonl,learnable_reversible_boundary_normalization,False,5.054830423614537,1.74880967101879,future_center_horizon_residual_gate_strong,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_horizon_residual_gate_strong,0.2312272648247996,0.18058749703816473,completed,,48,"{""beta"": 0.701599657535553, ""gamma"": 0.35164788365364075}"
ETTm1,PatchTST,720,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_720_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,6.8616116771749605,2.0303519513394064,unified_revin_rdn_hybrid,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-unified_revin_rdn_hybrid,0.0457071467491314,0.008968368094135407,completed,,48,"{""beta"": 0.7015541791915894, ""gamma"": 0.3516068458557129}"
ETTm1,PatchTST,720,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_720_future_center_selector.jsonl,learnable_reversible_boundary_normalization,False,6.884243100107493,2.0355472949338997,future_center_selector,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_selector,0.37568453654431366,0.2648752087087904,completed,,48,"{""gamma"": 0.35145658254623413}"
ETTm1,PatchTST,720,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_720_future_center_horizon_selector.jsonl,learnable_reversible_boundary_normalization,False,6.868200976146068,2.032319338384534,future_center_horizon_selector,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_horizon_selector,0.14178239935468265,0.10587587648654065,completed,,48,"{""gamma"": 0.3515329360961914}"
ETTm1,PatchTST,720,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_720_future_center_horizon_residual_gate.jsonl,learnable_reversible_boundary_normalization,False,6.85841044675744,2.029014090538923,future_center_horizon_residual_gate,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_horizon_residual_gate,-0.0009683831305152224,-0.05693059015700814,completed,,48,"{""beta"": 0.7013024687767029, ""gamma"": 0.3515244722366333}"
ETTm1,PatchTST,720,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_720_future_center_horizon_residual_gate_strong.jsonl,learnable_reversible_boundary_normalization,False,6.858209510181493,2.0312977920960282,future_center_horizon_residual_gate_strong,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-future_center_horizon_residual_gate_strong,-0.0038981382344269715,0.05555761004691462,completed,,48,"{""beta"": 0.7014919519424438, ""gamma"": 0.35156601667404175}"
ETTh1,DLinear,96,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTh1_DLinear_96_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,4.63684507540115,1.6352911740960125,unified_revin_rdn_hybrid,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-unified_revin_rdn_hybrid,-21.723212554384975,-11.415000353942009,completed,,48,"{""beta"": 0.701252818107605, ""gamma"": 0.35150057077407837}"
ETTh1,DLinear,96,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTh1_DLinear_96_future_center_selector.jsonl,learnable_reversible_boundary_normalization,False,4.603326224831226,1.628880828967098,future_center_selector,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_selector,-22.289060215632606,-11.762253754419707,completed,,48,"{""gamma"": 0.35180041193962097}"
ETTh1,DLinear,96,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTh1_DLinear_96_future_center_horizon_selector.jsonl,learnable_reversible_boundary_normalization,False,4.599943957179564,1.6261063460677174,future_center_horizon_selector,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_horizon_selector,-22.346157884790856,-11.912549659242579,completed,,48,"{""gamma"": 0.3517450988292694}"
