variant,dataset,backbone,horizon,seed,config_key,n,mse,mae,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,coverage,lrbn_mse,lrbn_mae
SafeTAE-mrc-features,ETTm1,DLinear,192,2026,ETTm1/DLinear/192,96,3.989555957955401,1.5323217923965562,-0.12873005100468135,-0.3727490898643074,0.20833333333333334,0.2708333333333333,0.4791666666666667,,
SafeTAE-mrc-features,ETTm1,PatchTST,96,2026,ETTm1/PatchTST/96,96,2.903580522782202,1.298328089593464,-3.6369670411734334,-2.1700280760685695,0.010416666666666666,0.9895833333333334,1.0,,
SafeTAE-mrc-features,ETTm1,PatchTST,192,2026,ETTm1/PatchTST/192,96,4.150632422956229,1.5692393809668364,-1.527419734369221,-0.9446032414595757,0.0,1.0,1.0,,
SafeTAE-no-mrc-features,ETTh1,DLinear,96,2026,ETTh1/DLinear/96,96,5.231136698803103,1.7531475804713097,-1.2008517031212118,-0.7619648058032802,0.03125,0.17708333333333334,0.20833333333333334,,
SafeTAE-no-mrc-features,ETTh1,DLinear,192,2026,ETTh1/DLinear/192,96,6.685155304536532,2.0023387425032637,-1.2724552060443537,-0.8475758355949405,0.0625,0.2604166666666667,0.3229166666666667,,
SafeTAE-no-mrc-features,ETTh1,PatchTST,96,2026,ETTh1/PatchTST/96,96,5.69740859110733,1.8356391198053732,-1.8413623597985478,-0.9568805803223321,0.0,1.0,1.0,,
SafeTAE-no-mrc-features,ETTh1,PatchTST,192,2026,ETTh1/PatchTST/192,96,7.209755609425687,2.089103675763935,-0.44958554200036466,-0.25650968975156885,0.0,1.0,1.0,,
SafeTAE-no-mrc-features,ETTm1,DLinear,96,2026,ETTm1/DLinear/96,96,2.7672163034980373,1.2591869269409093,-1.7931390990051292,-1.162668171949749,0.0,0.3020833333333333,0.4270833333333333,,
SafeTAE-no-mrc-features,ETTm1,DLinear,192,2026,ETTm1/DLinear/192,96,3.990749384949922,1.5316986712167715,-0.09885477904671125,-0.4132626752148102,0.20833333333333334,0.25,0.4583333333333333,,
SafeTAE-no-mrc-features,ETTm1,PatchTST,96,2026,ETTm1/PatchTST/96,96,2.9049241744949725,1.2986602988650826,-3.592374389851707,-2.1449958644685094,0.010416666666666666,0.9895833333333334,1.0,,
SafeTAE-no-mrc-features,ETTm1,PatchTST,192,2026,ETTm1/PatchTST/192,96,4.151923198750814,1.5687203467502646,-1.4967964438007817,-0.9773663371030611,0.0,1.0,1.0,,
SafeTAE-expert-thresholds,ETTh1,DLinear,96,2026,ETTh1/DLinear/96,96,5.217508015908684,1.7504914277940153,-1.4582531700167156,-0.9123180186777501,0.0625,0.2604166666666667,0.3229166666666667,,
SafeTAE-expert-thresholds,ETTh1,DLinear,192,2026,ETTh1/DLinear/192,96,6.676203809913751,1.9986440062539514,-1.404652446760922,-1.030532917811635,0.08333333333333333,0.3229166666666667,0.40625,,
SafeTAE-expert-thresholds,ETTh1,PatchTST,96,2026,ETTh1/PatchTST/96,96,5.682865751788822,1.8321834765147471,-2.091915794679034,-1.1433320922497205,0.0,1.0,1.0,,
